TMP,HUM,C02,V_ST,Time,D_N
26.34,48.71,2,100%,Fri Oct 21 15:44:51 2022,1
26.33,48.1,2,100%,Fri Oct 21 15:45:01 2022,2
26.32,47.88,2,100%,Fri Oct 21 15:45:11 2022,3
26.32,48,2,100%,Fri Oct 21 15:45:21 2022,4
26.33,48,2,100%,Fri Oct 21 15:45:31 2022,5
26.32,47.9,2,100%,Fri Oct 21 15:45:41 2022,6
26.32,47.83,2,100%,Fri Oct 21 15:45:51 2022,7
26.3,47.8,2,100%,Fri Oct 21 15:46:01 2022,8
26.32,47.83,2,100%,Fri Oct 21 15:46:12 2022,9
26.33,48.15,2,100%,Fri Oct 21 15:46:22 2022,10
26.33,47.9,2,100%,Fri Oct 21 15:46:32 2022,11
26.32,47.85,2,100%,Fri Oct 21 15:46:42 2022,12
26.33,48.05,2,100%,Fri Oct 21 15:46:52 2022,13
26.32,47.93,2,100%,Fri Oct 21 15:47:02 2022,14
26.32,47.88,2,100%,Fri Oct 21 15:47:12 2022,15
26.32,47.85,2,100%,Fri Oct 21 15:47:22 2022,16
26.32,47.9,2,100%,Fri Oct 21 15:47:32 2022,17
26.32,47.97,2,100%,Fri Oct 21 15:47:42 2022,18
26.32,48.46,2,100%,Fri Oct 21 15:47:52 2022,19
26.3,48.56,2,100%,Fri Oct 21 15:48:02 2022,20
26.29,48.22,2,100%,Fri Oct 21 15:48:12 2022,21
26.29,48.49,2,100%,Fri Oct 21 15:48:22 2022,22
26.32,49.05,2,100%,Fri Oct 21 15:48:32 2022,23
26.32,48.07,2,100%,Fri Oct 21 15:48:42 2022,24
26.3,48.1,2,100%,Fri Oct 21 15:48:52 2022,25
26.32,48.29,2,100%,Fri Oct 21 15:49:02 2022,26
26.32,48.39,2,100%,Fri Oct 21 15:49:13 2022,27
26.27,47.46,2,100%,Fri Oct 21 15:49:23 2022,28
26.29,47.88,2,100%,Fri Oct 21 15:49:33 2022,29
26.29,48.1,2,100%,Fri Oct 21 15:49:43 2022,30
26.33,48.29,2,100%,Fri Oct 21 15:49:53 2022,31
26.32,48.15,2,100%,Fri Oct 21 15:50:03 2022,32
26.32,47.88,2,100%,Fri Oct 21 15:50:13 2022,33
26.33,48.49,2,100%,Fri Oct 21 15:50:23 2022,34
26.32,47.93,2,100%,Fri Oct 21 15:50:33 2022,35
26.32,47.97,2,100%,Fri Oct 21 15:50:43 2022,36
26.3,49,2,100%,Fri Oct 21 15:50:53 2022,37
26.32,48.95,2,100%,Fri Oct 21 15:51:03 2022,38
26.29,50.73,2,100%,Fri Oct 21 15:51:13 2022,39
26.4,53.97,2,100%,Fri Oct 21 15:51:23 2022,40
26.44,50.64,2,100%,Fri Oct 21 15:51:33 2022,41
26.49,50.1,2,100%,Fri Oct 21 15:51:43 2022,42
26.53,48.98,2,100%,Fri Oct 21 15:51:53 2022,43
26.56,48.07,2,100%,Fri Oct 21 15:52:03 2022,44
26.58,48.39,2,100%,Fri Oct 21 15:52:13 2022,45
26.54,51.03,2,100%,Fri Oct 21 15:52:24 2022,46
26.61,53.08,2,100%,Fri Oct 21 15:52:34 2022,47
26.71,52.98,2,100%,Fri Oct 21 15:52:44 2022,48
26.74,52.42,2,100%,Fri Oct 21 15:52:54 2022,49
26.77,52.71,2,100%,Fri Oct 21 15:53:04 2022,50
26.78,52.66,2,100%,Fri Oct 21 15:53:14 2022,51
26.82,52.61,2,100%,Fri Oct 21 15:53:34 2022,52
26.87,52.22,2,100%,Fri Oct 21 15:53:44 2022,53
26.88,51.27,2,100%,Fri Oct 21 15:53:54 2022,54
26.89,51.61,2,100%,Fri Oct 21 15:54:04 2022,55
26.92,51.69,2,100%,Fri Oct 21 15:54:14 2022,56
26.94,51.56,2,100%,Fri Oct 21 15:54:24 2022,57
26.94,51.39,2,100%,Fri Oct 21 15:54:34 2022,58
26.94,51.49,2,100%,Fri Oct 21 15:54:44 2022,59
26.95,51.12,2,100%,Fri Oct 21 15:54:55 2022,60
26.98,51.1,2,100%,Fri Oct 21 15:55:04 2022,61
26.99,51.2,2,100%,Fri Oct 21 15:55:14 2022,62
26.99,50.88,2,100%,Fri Oct 21 15:55:25 2022,63
